ID	Out101	Out102	Out103	On101	On102	On103	In101	In102	In103
OTU_713	3.0	4.0	1.0	3.0	8.0	7.0	6.0	3.0	10.0
OTU_1009	1.0	3.0	1.0	4.0	5.0	0.0	2.0	4.0	4.0
OTU_594	5.0	2.0	3.0	1.0	4.0	1.0	2.0	3.0	4.0
OTU_206	19.0	20.0	30.0	33.0	40.0	26.0	14.0	33.0	43.0
OTU_832	9.0	8.0	10.0	11.0	9.0	5.0	5.0	6.0	16.0
OTU_255	4.0	5.0	3.0	3.0	4.0	5.0	4.0	9.0	5.0
OTU_999	2.0	2.0	5.0	2.0	11.0	10.0	1.0	3.0	4.0
OTU_207	15.0	16.0	23.0	14.0	21.0	16.0	10.0	12.0	19.0
OTU_1507	6.0	1.0	3.0	4.0	1.0	0.0	3.0	4.0	3.0
OTU_131	23.0	22.0	36.0	22.0	30.0	27.0	15.0	27.0	13.0
OTU_258	14.0	19.0	15.0	16.0	12.0	11.0	10.0	15.0	17.0
OTU_1067	4.0	2.0	7.0	4.0	9.0	3.0	10.0	10.0	13.0
OTU_199	22.0	13.0	30.0	16.0	9.0	10.0	18.0	21.0	41.0
OTU_1034	2.0	5.0	5.0	3.0	6.0	2.0	4.0	7.0	13.0
OTU_883	6.0	5.0	8.0	9.0	6.0	7.0	5.0	7.0	11.0
OTU_1094	3.0	2.0	4.0	1.0	3.0	0.0	4.0	3.0	0.0
OTU_196	27.0	20.0	26.0	34.0	44.0	30.0	26.0	27.0	22.0
OTU_504	8.0	1.0	8.0	2.0	3.0	4.0	4.0	3.0	8.0
OTU_470	1.0	3.0	4.0	1.0	2.0	7.0	2.0	1.0	2.0
OTU_688	13.0	6.0	6.0	9.0	13.0	11.0	10.0	11.0	9.0
OTU_282	1.0	2.0	3.0	11.0	13.0	13.0	5.0	9.0	11.0
OTU_1605	12.0	11.0	8.0	19.0	28.0	24.0	14.0	14.0	26.0
OTU_1005	9.0	3.0	2.0	1.0	2.0	3.0	8.0	14.0	9.0
